name,prompt,negative_prompt
Classic Portrait Studio Session,"Classic Portrait Studio Session, capturing {prompt} in a controlled studio environment with traditional lighting setups and backdrop options","portrait studio sessions with poor lighting, lack of creativity in backdrops, uninteresting portrait poses, uninspired studio environments"
Creative Conceptual Studio Shoot,"Creative Conceptual Studio Shoot, exploring {prompt} with imaginative concepts, unique props, and innovative lighting setups in a studio setting","conceptual studio shoots with lackluster concepts, unimaginative props, poor execution of creative ideas, uninspired lighting setups"
Fashion Editorial Studio Session,"Fashion Editorial Studio Session, showcasing {prompt} through dynamic poses, stylish outfits, and high-fashion concepts in a professional studio environment","fashion editorial sessions with dull poses, lack of style in outfits, unimpressive fashion concepts, uninspired studio fashion photography"
Product Photography Studio Setup,"Product Photography Studio Setup, capturing {prompt} with meticulous attention to detail, effective lighting, and creative compositions in a controlled studio environment","product photography with poor lighting, lack of attention to detail, uncreative compositions, uninspired product displays"
Boudoir Photography Studio Experience,"Boudoir Photography Studio Experience, creating {prompt} through intimate and tasteful boudoir sessions, focusing on body positivity and empowering poses","boudoir sessions with inappropriate poses, lack of sensitivity to body positivity, unprofessional boudoir photography, uninspired intimate settings"
Fine Art Studio Photography Session,"Fine Art Studio Photography Session, capturing {prompt} with a focus on artistic expression, unique compositions, and creative lighting techniques in a studio environment","fine art sessions with lackluster artistic expression, uncreative compositions, poor execution of creative lighting, uninspired studio art photography"
Family Portrait Studio Session,"Family Portrait Studio Session, capturing {prompt} with a warm and inviting atmosphere, focusing on genuine expressions and meaningful interactions in a studio setting","family portrait sessions with awkward poses, lack of warmth in atmosphere, unimpressive family interactions, uninspired studio family photography"
Corporate Headshot Studio Session,"Corporate Headshot Studio Session, creating {prompt} with professional and polished headshots, emphasizing a clean and professional image for corporate clients in a studio environment","corporate headshot sessions with unprofessional poses, lack of polish in headshots, unimpressive corporate image, uninspired studio corporate photography"
Glamour Studio Photography Experience,"Glamour Studio Photography Experience, showcasing {prompt} through glamorous and sophisticated sessions, focusing on elegant poses, stylish outfits, and dramatic lighting in a studio setting","glamour sessions with lackluster poses, unimpressive glamour outfits, poor execution of dramatic lighting, uninspired studio glamour photography"
Fitness Photography Studio Session,"Fitness Photography Studio Session, capturing {prompt} with dynamic and athletic poses, highlighting the strength and athleticism of the subject in a well-equipped studio environment","fitness sessions with lack of dynamic poses, unimpressive athletic displays, poor execution of highlighting strength, uninspired studio fitness photography"
Maternity Studio Photography Session,"Maternity Studio Photography Session, celebrating {prompt} with tasteful and artistic maternity sessions, focusing on the beauty of pregnancy in a comfortable and supportive studio setting","maternity sessions with inappropriate poses, lack of artistic maternity representation, unimpressive focus on pregnancy beauty, uninspired studio maternity photography"
Pet Portrait Studio Session,"Pet Portrait Studio Session, capturing {prompt} with patience and creativity, highlighting the unique personalities and characteristics of pets in a controlled studio environment","pet portrait sessions with lack of patience, unimpressive pet poses, poor execution of showcasing pet personalities, uninspired studio pet photography"
Corporate Event Studio Coverage,"Corporate Event Studio Coverage, documenting {prompt} during corporate events with professional and candid shots, ensuring a comprehensive coverage in a well-equipped studio setup","corporate event coverage with unprofessional shots, lack of candid moments, unimpressive event documentation, uninspired studio event photography"
Conceptual Beauty Studio Shoot,"Conceptual Beauty Studio Shoot, exploring {prompt} through innovative beauty concepts, creative makeup, and artistic lighting setups in a controlled studio environment","beauty shoots with lackluster beauty concepts, unimpressive makeup ideas, poor execution of artistic lighting, uninspired studio beauty photography"
Creative Studio Portfolios,"Creative Studio Portfolios, crafting {prompt} through unique and diverse portfolios, showcasing a range of styles, techniques, and subject matters in a studio setting","studio portfolios with lack of diversity, unimpressive range of styles, poor execution of creative techniques, uninspired studio portfolio photography"
Corporate Studio Branding,"Corporate Studio Branding, establishing {prompt} through professional branding photography, emphasizing company values, identity, and team spirit in a well-equipped studio environment","corporate branding sessions with lack of professionalism, unimpressive representation of company values, poor execution of team spirit, uninspired studio branding photography"
High-Key Studio Portraiture,"High-Key Studio Portraiture, capturing {prompt} with a high-key lighting setup, emphasizing bright tones and minimizing shadows for a clean and vibrant look in a controlled studio environment","high-key portraiture with poor lighting setup, unimpressive bright tones, lack of clean and vibrant look, uninspired high-key studio photography"
Low-Key Studio Dramatics,"Low-Key Studio Dramatics, creating {prompt} with a low-key lighting setup, emphasizing shadows and moody atmospheres for dramatic and cinematic portraiture in a well-equipped studio environment","low-key dramatics with lack of mood-setting lighting, unimpressive use of shadows, poor execution of cinematic portraiture, uninspired low-key studio photography"
360-Degree Product Studio Photography,"360-Degree Product Studio Photography, capturing {prompt} with comprehensive and detailed shots, showcasing products from every angle in a controlled studio environment","360-degree product photography with lack of comprehensive shots, unimpressive detail representation, poor execution of showcasing products from every angle, uninspired studio product photography"
Mysterious Noir Portraits,"Mysterious Noir Portraits, capturing {prompt} in The Dark Room studio with moody lighting, creating a sense of mystery and intrigue","noir portraits with poor use of moody lighting, lack of mystery in atmosphere, unimpressive execution of noir aesthetics, uninspired Dark Room noir photography"
